reg,date_end_week,type,flask,dose
84,2021-06-13,AstraZeneca,5086,50860
84,2021-06-20,AstraZeneca,6855,68550
84,2021-06-27,AstraZeneca,8203,82030
84,2021-07-04,AstraZeneca,8203,82030
84,2021-07-11,AstraZeneca,8829,88290
84,2021-07-18,AstraZeneca,9322,93220
84,2021-07-25,AstraZeneca,9720,97200
84,2021-08-01,AstraZeneca,11412,114120
84,2021-08-08,AstraZeneca,11412,114120
84,2021-08-15,AstraZeneca,11412,114120
84,2021-08-22,AstraZeneca,11412,114120
84,2021-08-29,AstraZeneca,11412,114120
84,2021-09-05,AstraZeneca,11412,114120
84,2021-09-12,AstraZeneca,11412,114120
27,2021-06-13,AstraZeneca,1915,19150
27,2021-06-20,AstraZeneca,2650,26500
27,2021-06-27,AstraZeneca,3201,32010
27,2021-07-04,AstraZeneca,3201,32010
27,2021-07-11,AstraZeneca,3440,34400
27,2021-07-18,AstraZeneca,3721,37210
27,2021-07-25,AstraZeneca,3938,39380
27,2021-08-01,AstraZeneca,4844,48440
27,2021-08-08,AstraZeneca,4844,48440
27,2021-08-15,AstraZeneca,4844,48440
27,2021-08-22,AstraZeneca,4844,48440
27,2021-08-29,AstraZeneca,4844,48440
27,2021-09-05,AstraZeneca,4844,48440
27,2021-09-12,AstraZeneca,4844,48440
53,2021-06-13,AstraZeneca,2784,27840
53,2021-06-20,AstraZeneca,4188,41880
53,2021-06-27,AstraZeneca,5324,53240
53,2021-07-04,AstraZeneca,5324,53240
53,2021-07-11,AstraZeneca,5873,58730
53,2021-07-18,AstraZeneca,6205,62050
53,2021-07-25,AstraZeneca,6485,64850
53,2021-08-01,AstraZeneca,7605,76050
53,2021-08-08,AstraZeneca,7605,76050
53,2021-08-15,AstraZeneca,7605,76050
53,2021-08-22,AstraZeneca,7605,76050
53,2021-08-29,AstraZeneca,7605,76050
53,2021-09-05,AstraZeneca,7605,76050
53,2021-09-12,AstraZeneca,7605,76050
94,2021-06-13,AstraZeneca,92,920
94,2021-06-20,AstraZeneca,128,1280
94,2021-06-27,AstraZeneca,146,1460
94,2021-07-04,AstraZeneca,146,1460
94,2021-07-11,AstraZeneca,159,1590
94,2021-07-18,AstraZeneca,223,2230
94,2021-07-25,AstraZeneca,263,2630
94,2021-08-01,AstraZeneca,423,4230
94,2021-08-08,AstraZeneca,423,4230
94,2021-08-15,AstraZeneca,423,4230
94,2021-08-22,AstraZeneca,423,4230
94,2021-08-29,AstraZeneca,423,4230
94,2021-09-05,AstraZeneca,423,4230
94,2021-09-12,AstraZeneca,423,4230
24,2021-06-13,AstraZeneca,1728,17280
24,2021-06-20,AstraZeneca,2674,26740
24,2021-06-27,AstraZeneca,3412,34120
24,2021-07-04,AstraZeneca,3412,34120
24,2021-07-11,AstraZeneca,3755,37550
24,2021-07-18,AstraZeneca,4032,40320
24,2021-07-25,AstraZeneca,4240,42400
24,2021-08-01,AstraZeneca,5072,50720
24,2021-08-08,AstraZeneca,5072,50720
24,2021-08-15,AstraZeneca,5072,50720
24,2021-08-22,AstraZeneca,5072,50720
24,2021-08-29,AstraZeneca,5072,50720
24,2021-09-05,AstraZeneca,5072,50720
24,2021-09-12,AstraZeneca,5072,50720
01,2021-06-13,AstraZeneca,0,0
01,2021-06-20,AstraZeneca,0,0
01,2021-06-27,AstraZeneca,0,0
01,2021-07-04,AstraZeneca,0,0
01,2021-07-11,AstraZeneca,0,0
01,2021-07-18,AstraZeneca,0,0
01,2021-07-25,AstraZeneca,0,0
01,2021-08-01,AstraZeneca,0,0
01,2021-08-08,AstraZeneca,0,0
01,2021-08-15,AstraZeneca,0,0
01,2021-08-22,AstraZeneca,0,0
01,2021-08-29,AstraZeneca,0,0
01,2021-09-05,AstraZeneca,0,0
01,2021-09-12,AstraZeneca,0,0
44,2021-06-13,AstraZeneca,3496,34960
44,2021-06-20,AstraZeneca,5007,50070
44,2021-06-27,AstraZeneca,6055,60550
44,2021-07-04,AstraZeneca,6055,60550
44,2021-07-11,AstraZeneca,6568,65680
44,2021-07-18,AstraZeneca,7016,70160
44,2021-07-25,AstraZeneca,7393,73930
44,2021-08-01,AstraZeneca,8901,89010
44,2021-08-08,AstraZeneca,8901,89010
44,2021-08-15,AstraZeneca,8901,89010
44,2021-08-22,AstraZeneca,8901,89010
44,2021-08-29,AstraZeneca,8901,89010
44,2021-09-05,AstraZeneca,8901,89010
44,2021-09-12,AstraZeneca,8901,89010
32,2021-06-13,AstraZeneca,8848,88480
32,2021-06-20,AstraZeneca,10618,106180
32,2021-06-27,AstraZeneca,11885,118850
32,2021-07-04,AstraZeneca,11885,118850
32,2021-07-11,AstraZeneca,12552,125520
32,2021-07-18,AstraZeneca,13071,130710
32,2021-07-25,AstraZeneca,13582,135820
32,2021-08-01,AstraZeneca,15993,159930
32,2021-08-08,AstraZeneca,15993,159930
32,2021-08-15,AstraZeneca,15993,159930
32,2021-08-22,AstraZeneca,15993,159930
32,2021-08-29,AstraZeneca,15993,159930
32,2021-09-05,AstraZeneca,15993,159930
32,2021-09-12,AstraZeneca,15993,159930
11,2021-06-13,AstraZeneca,8964,89640
11,2021-06-20,AstraZeneca,11973,119730
11,2021-06-27,AstraZeneca,13701,137010
11,2021-07-04,AstraZeneca,13701,137010
11,2021-07-11,AstraZeneca,14537,145370
11,2021-07-18,AstraZeneca,15321,153210
11,2021-07-25,AstraZeneca,15991,159910
11,2021-08-01,AstraZeneca,19363,193630
11,2021-08-08,AstraZeneca,19363,193630
11,2021-08-15,AstraZeneca,19363,193630
11,2021-08-22,AstraZeneca,19363,193630
11,2021-08-29,AstraZeneca,19363,193630
11,2021-09-05,AstraZeneca,19363,193630
11,2021-09-12,AstraZeneca,19363,193630
02,2021-06-13,AstraZeneca,0,0
02,2021-06-20,AstraZeneca,0,0
02,2021-06-27,AstraZeneca,0,0
02,2021-07-04,AstraZeneca,0,0
02,2021-07-11,AstraZeneca,0,0
02,2021-07-18,AstraZeneca,0,0
02,2021-07-25,AstraZeneca,0,0
02,2021-08-01,AstraZeneca,0,0
02,2021-08-08,AstraZeneca,0,0
02,2021-08-15,AstraZeneca,0,0
02,2021-08-22,AstraZeneca,0,0
02,2021-08-29,AstraZeneca,0,0
02,2021-09-05,AstraZeneca,0,0
02,2021-09-12,AstraZeneca,0,0
75,2021-06-13,AstraZeneca,5250,52500
75,2021-06-20,AstraZeneca,7357,73570
75,2021-06-27,AstraZeneca,9005,90050
75,2021-07-04,AstraZeneca,9005,90050
75,2021-07-11,AstraZeneca,9852,98520
75,2021-07-18,AstraZeneca,10428,104280
75,2021-07-25,AstraZeneca,10872,108720
75,2021-08-01,AstraZeneca,12792,127920
75,2021-08-08,AstraZeneca,12792,127920
75,2021-08-15,AstraZeneca,12792,127920
75,2021-08-22,AstraZeneca,12792,127920
75,2021-08-29,AstraZeneca,12792,127920
75,2021-09-05,AstraZeneca,12792,127920
75,2021-09-12,AstraZeneca,12792,127920
28,2021-06-13,AstraZeneca,2588,25880
28,2021-06-20,AstraZeneca,3863,38630
28,2021-06-27,AstraZeneca,4653,46530
28,2021-07-04,AstraZeneca,4653,46530
28,2021-07-11,AstraZeneca,5068,50680
28,2021-07-18,AstraZeneca,5394,53940
28,2021-07-25,AstraZeneca,5699,56990
28,2021-08-01,AstraZeneca,6919,69190
28,2021-08-08,AstraZeneca,6919,69190
28,2021-08-15,AstraZeneca,6919,69190
28,2021-08-22,AstraZeneca,6919,69190
28,2021-08-29,AstraZeneca,6919,69190
28,2021-09-05,AstraZeneca,6919,69190
28,2021-09-12,AstraZeneca,6919,69190
76,2021-06-13,AstraZeneca,4002,40020
76,2021-06-20,AstraZeneca,5692,56920
76,2021-06-27,AstraZeneca,7060,70600
76,2021-07-04,AstraZeneca,7060,70600
76,2021-07-11,AstraZeneca,7736,77360
76,2021-07-18,AstraZeneca,8361,83610
76,2021-07-25,AstraZeneca,8873,88730
76,2021-08-01,AstraZeneca,10921,109210
76,2021-08-08,AstraZeneca,10921,109210
76,2021-08-15,AstraZeneca,10921,109210
76,2021-08-22,AstraZeneca,10921,109210
76,2021-08-29,AstraZeneca,10921,109210
76,2021-09-05,AstraZeneca,10921,109210
76,2021-09-12,AstraZeneca,10921,109210
93,2021-06-13,AstraZeneca,3070,30700
93,2021-06-20,AstraZeneca,4527,45270
93,2021-06-27,AstraZeneca,5401,54010
93,2021-07-04,AstraZeneca,5401,54010
93,2021-07-11,AstraZeneca,5831,58310
93,2021-07-18,AstraZeneca,6423,64230
93,2021-07-25,AstraZeneca,7053,70530
93,2021-08-01,AstraZeneca,9573,95730
93,2021-08-08,AstraZeneca,9573,95730
93,2021-08-15,AstraZeneca,9573,95730
93,2021-08-22,AstraZeneca,9573,95730
93,2021-08-29,AstraZeneca,9573,95730
93,2021-09-05,AstraZeneca,9573,95730
93,2021-09-12,AstraZeneca,9573,95730
52,2021-06-13,AstraZeneca,3698,36980
